"id","prediction"
0,"no"
1,"no"
2,"no"
3,"yes"
4,"yes"
5,"yes"
6,"no"
7,"no"
8,"no"
9,"no"
10,"no"
11,"no"
12,"no"
13,"yes"
14,"no"
15,"no"
16,"no"
17,"no"
18,"no"
19,"no"
20,"no"
21,"yes"
22,"yes"
23,"no"
24,"no"
25,"no"
26,"no"
27,"yes"
28,"no"
29,"no"
30,"no"
31,"yes"
32,"no"
33,"no"
34,"no"
35,"yes"
36,"no"
37,"yes"
38,"no"
39,"no"
40,"no"
41,"no"
42,"no"
43,"no"
44,"no"
45,"no"
46,"no"
47,"no"
48,"yes"
49,"no"
50,"no"
51,"no"
52,"no"
53,"no"
54,"no"
55,"no"
56,"no"
57,"yes"
58,"yes"
59,"no"
60,"no"
61,"no"
62,"no"
63,"no"
64,"no"
65,"no"
66,"yes"
67,"no"
68,"no"
69,"no"
70,"no"
71,"no"
72,"yes"
73,"no"
74,"yes"
75,"no"
76,"no"
77,"no"
78,"no"
79,"no"
80,"yes"
81,"no"
82,"yes"
83,"no"
84,"no"
85,"no"
86,"no"
87,"no"
88,"no"
89,"no"
90,"yes"
91,"no"
92,"no"
93,"yes"
94,"no"
95,"no"
96,"no"
97,"no"
98,"no"
99,"no"
100,"no"
101,"no"
102,"no"
103,"no"
104,"no"
105,"no"
106,"no"
107,"no"
108,"no"
109,"no"
110,"yes"
111,"no"
112,"no"
113,"no"
114,"no"
115,"no"
116,"no"
117,"no"
118,"yes"
119,"yes"
120,"no"
121,"yes"
122,"no"
123,"no"
124,"no"
125,"yes"
126,"no"
127,"no"
128,"no"
129,"no"
130,"no"
131,"no"
132,"no"
133,"yes"
134,"yes"
135,"yes"
136,"no"
137,"no"
138,"no"
139,"no"
140,"yes"
141,"no"
142,"no"
143,"yes"
144,"no"
145,"no"
146,"no"
147,"no"
148,"no"
149,"yes"
150,"no"
151,"yes"
152,"no"
153,"no"
154,"no"
155,"no"
156,"no"
157,"no"
158,"no"
159,"no"
160,"no"
161,"no"
162,"no"
163,"no"
164,"yes"
165,"no"
166,"no"
167,"no"
168,"no"
169,"no"
170,"yes"
171,"no"
172,"no"
173,"no"
174,"no"
175,"no"
176,"no"
177,"no"
178,"yes"
179,"no"
180,"no"
181,"no"
182,"no"
183,"no"
184,"no"
185,"no"
186,"yes"
187,"no"
188,"no"
189,"no"
190,"no"
191,"no"
192,"no"
193,"no"
194,"yes"
195,"no"
196,"no"
197,"no"
198,"no"
199,"yes"
200,"no"
201,"no"
202,"no"
203,"no"
204,"no"
205,"no"
206,"no"
207,"no"
208,"no"
209,"no"
210,"no"
211,"no"
212,"no"
213,"no"
214,"yes"
215,"no"
216,"no"
217,"no"
218,"no"
219,"no"
220,"no"
221,"no"
222,"no"
223,"no"
224,"no"
225,"no"
226,"no"
227,"no"
228,"no"
229,"no"
230,"no"
231,"no"
232,"no"
233,"no"
234,"no"
235,"yes"
236,"no"
237,"no"
238,"yes"
239,"no"
240,"no"
241,"no"
242,"no"
243,"yes"
244,"no"
245,"no"
246,"no"
247,"no"
248,"no"
249,"no"
250,"no"
251,"no"
252,"no"
253,"no"
254,"no"
255,"no"
256,"no"
257,"no"
258,"no"
259,"no"
260,"no"
261,"no"
262,"no"
263,"no"
264,"yes"
265,"no"
266,"no"
267,"no"
268,"no"
269,"no"
270,"no"
271,"no"
272,"no"
273,"no"
274,"no"
275,"no"
276,"yes"
277,"no"
278,"no"
279,"no"
280,"yes"
281,"no"
282,"no"
283,"no"
284,"no"
285,"no"
286,"yes"
287,"yes"
288,"no"
289,"no"
290,"no"
291,"no"
292,"no"
293,"yes"
294,"no"
295,"no"
296,"no"
297,"no"
298,"no"
299,"no"
300,"no"
301,"no"
302,"no"
303,"yes"
304,"no"
305,"no"
306,"yes"
307,"no"
308,"no"
309,"no"
310,"no"
311,"no"
312,"no"
313,"yes"
314,"no"
315,"no"
316,"yes"
317,"no"
318,"no"
319,"no"
320,"no"
321,"no"
322,"no"
323,"yes"
324,"no"
325,"no"
326,"no"
327,"no"
328,"no"
329,"no"
330,"no"
331,"no"
332,"no"
333,"no"
334,"no"
335,"no"
336,"no"
337,"no"
338,"no"
339,"no"
340,"no"
341,"no"
342,"no"
343,"no"
344,"no"
345,"no"
346,"no"
347,"no"
348,"no"
349,"yes"
350,"yes"
351,"no"
352,"no"
353,"no"
354,"no"
355,"yes"
356,"yes"
357,"no"
358,"yes"
359,"no"
360,"yes"
361,"no"
362,"no"
363,"yes"
364,"no"
365,"yes"
366,"no"
367,"no"
368,"no"
369,"yes"
370,"no"
371,"no"
372,"no"
373,"no"
374,"yes"
375,"no"
376,"no"
377,"yes"
378,"no"
379,"no"
380,"no"
381,"no"
382,"no"
383,"no"
384,"yes"
385,"no"
386,"yes"
387,"no"
388,"no"
389,"yes"
390,"no"
391,"no"
392,"yes"
393,"no"
394,"no"
395,"no"
396,"no"
397,"no"
398,"no"
399,"yes"
400,"no"
401,"no"
402,"no"
403,"no"
404,"no"
405,"no"
406,"no"
407,"no"
408,"no"
409,"yes"
410,"no"
411,"no"
412,"no"
413,"no"
414,"no"
415,"no"
416,"yes"
417,"no"
418,"no"
419,"no"
420,"no"
421,"no"
422,"no"
423,"no"
424,"no"
425,"no"
426,"no"
427,"no"
428,"yes"
429,"no"
430,"no"
431,"no"
432,"no"
433,"yes"
434,"no"
435,"no"
436,"no"
437,"no"
438,"no"
439,"no"
440,"no"
441,"no"
442,"no"
443,"yes"
444,"no"
445,"no"
446,"yes"
447,"no"
448,"no"
449,"no"
450,"yes"
451,"yes"
452,"no"
453,"no"
454,"yes"
455,"no"
456,"no"
457,"no"
458,"no"
459,"no"
460,"no"
461,"no"
462,"no"
463,"no"
464,"no"
465,"no"
466,"no"
467,"no"
468,"no"
469,"yes"
470,"yes"
471,"no"
472,"no"
473,"no"
474,"no"
475,"no"
476,"no"
477,"yes"
478,"no"
479,"no"
480,"no"
481,"no"
482,"no"
483,"yes"
484,"no"
485,"no"
486,"no"
487,"no"
488,"no"
489,"yes"
490,"no"
491,"no"
492,"no"
493,"no"
494,"yes"
495,"no"
496,"no"
497,"no"
498,"no"
499,"no"
500,"no"
501,"no"
502,"no"
503,"no"
504,"no"
505,"yes"
506,"yes"
507,"no"
508,"yes"
509,"no"
510,"no"
511,"no"
512,"no"
513,"no"
514,"no"
515,"no"
516,"no"
517,"no"
518,"no"
519,"no"
520,"no"
521,"no"
522,"no"
523,"yes"
524,"no"
525,"no"
526,"no"
527,"yes"
528,"no"
529,"yes"
530,"yes"
531,"yes"
532,"no"
533,"no"
534,"no"
535,"no"
536,"yes"
537,"no"
538,"no"
539,"no"
540,"no"
541,"yes"
542,"no"
543,"yes"
544,"no"
545,"yes"
546,"yes"
547,"yes"
548,"no"
549,"yes"
550,"no"
551,"no"
552,"no"
553,"no"
554,"no"
555,"no"
556,"no"
557,"no"
558,"no"
559,"no"
560,"no"
561,"no"
562,"yes"
563,"no"
564,"no"
565,"yes"
566,"no"
567,"no"
568,"no"
569,"no"
570,"yes"
571,"no"
572,"yes"
573,"no"
574,"no"
575,"no"
576,"no"
577,"no"
578,"no"
579,"no"
580,"no"
581,"no"
582,"no"
583,"no"
584,"yes"
585,"no"
586,"no"
587,"no"
588,"no"
589,"no"
590,"no"
591,"no"
592,"no"
593,"no"
594,"no"
595,"no"
596,"no"
597,"no"
598,"no"
599,"no"
600,"yes"
601,"no"
602,"no"
603,"yes"
604,"yes"
605,"no"
606,"no"
607,"no"
608,"yes"
609,"no"
610,"yes"
611,"no"
612,"no"
613,"no"
614,"yes"
615,"no"
616,"no"
617,"no"
618,"no"
619,"no"
620,"no"
621,"no"
622,"yes"
623,"no"
624,"no"
625,"no"
626,"no"
627,"yes"
628,"yes"
629,"no"
630,"no"
631,"no"
632,"no"
633,"yes"
634,"no"
635,"no"
636,"no"
637,"no"
638,"no"
639,"no"
640,"yes"
641,"no"
642,"no"
643,"no"
644,"yes"
645,"no"
646,"no"
647,"no"
648,"no"
649,"no"
650,"no"
651,"no"
652,"no"
653,"no"
654,"no"
655,"no"
656,"no"
657,"no"
658,"no"
659,"no"
660,"no"
661,"no"
662,"no"
663,"no"
664,"no"
665,"no"
666,"no"
667,"no"
668,"no"
669,"no"
670,"no"
671,"no"
672,"no"
673,"no"
674,"no"
675,"no"
676,"no"
677,"no"
678,"no"
679,"no"
680,"no"
681,"no"
682,"no"
683,"no"
684,"no"
685,"no"
686,"no"
687,"no"
688,"no"
689,"no"
690,"yes"
691,"no"
692,"no"
693,"no"
694,"no"
695,"no"
696,"no"
697,"no"
698,"no"
699,"yes"
700,"no"
